,age,tissue,cell_ontology_class,ncells
0,1m,Bladder,bladder cell,629
1,1m,Bladder,bladder urothelial cell,188
2,1m,Bladder,endothelial cell,118
3,1m,Bladder,leukocyte,35
4,1m,Heart_and_Aorta,cardiac neuron,20
5,1m,Heart_and_Aorta,cardiomyocyte,53
6,1m,Heart_and_Aorta,endocardial cell,47
7,1m,Heart_and_Aorta,endothelial cell of coronary artery,368
8,1m,Heart_and_Aorta,erythrocyte,3
9,1m,Heart_and_Aorta,fibroblast of cardiac tissue,266
10,1m,Heart_and_Aorta,leukocyte,85
11,1m,Heart_and_Aorta,smooth muscle cell,104
12,1m,Kidney,B cell,10
13,1m,Kidney,NK cell,1
14,1m,Kidney,T cell,13
15,1m,Kidney,brush cell,65
16,1m,Kidney,epithelial cell of proximal tubule,169
17,1m,Kidney,fenestrated cell,206
18,1m,Kidney,fibroblast,14
19,1m,Kidney,kidney capillary endothelial cell,42
20,1m,Kidney,kidney collecting duct principal cell,83
21,1m,Kidney,kidney cortex artery cell,62
22,1m,Kidney,kidney distal convoluted tubule epithelial cell,100
23,1m,Kidney,kidney loop of Henle ascending limb epithelial cell,52
24,1m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,460
25,1m,Kidney,kidney mesangial cell,108
26,1m,Kidney,kidney proximal convoluted tubule epithelial cell,938
27,1m,Kidney,lymphocyte,12
28,1m,Kidney,macrophage,62
29,1m,Kidney,podocyte,91
30,1m,Limb_Muscle,B cell,287
31,1m,Limb_Muscle,Schwann cell,88
32,1m,Limb_Muscle,T cell,319
33,1m,Limb_Muscle,endothelial cell,1504
34,1m,Limb_Muscle,macrophage,306
35,1m,Limb_Muscle,mesenchymal stem cell,2356
36,1m,Limb_Muscle,skeletal muscle cell,18
37,1m,Limb_Muscle,skeletal muscle satellite cell,509
38,1m,Limb_Muscle,smooth muscle cell,370
39,1m,Liver,B cell,17
40,1m,Liver,Kupffer cell,614
41,1m,Liver,NK cell,247
42,1m,Liver,endothelial cell of hepatic sinusoid,520
43,1m,Liver,hepatic stellate cell,28
44,1m,Liver,hepatocyte,1315
45,1m,Liver,myeloid leukocyte,35
46,1m,Liver,plasmacytoid dendritic cell,15
47,1m,Lung,B cell,124
48,1m,Lung,"CD4-positive, alpha-beta T cell",143
49,1m,Lung,"CD8-positive, alpha-beta T cell",38
50,1m,Lung,NK cell,145
51,1m,Lung,T cell,15
52,1m,Lung,adventitial cell,29
53,1m,Lung,alveolar macrophage,577
54,1m,Lung,basophil,9
55,1m,Lung,bronchial smooth muscle cell,321
56,1m,Lung,ciliated columnar cell of tracheobronchial tree,10
57,1m,Lung,classical monocyte,486
58,1m,Lung,club cell of bronchiole,2
59,1m,Lung,dendritic cell,6
60,1m,Lung,endothelial cell of lymphatic vessel,6
61,1m,Lung,fibroblast of lung,87
62,1m,Lung,intermediate monocyte,111
63,1m,Lung,lung macrophage,7
64,1m,Lung,mature NK T cell,20
65,1m,Lung,myeloid dendritic cell,46
66,1m,Lung,neutrophil,64
67,1m,Lung,non-classical monocyte,157
68,1m,Lung,pericyte cell,11
69,1m,Lung,plasma cell,3
70,1m,Lung,plasmacytoid dendritic cell,21
71,1m,Lung,pulmonary interstitial fibroblast,23
72,1m,Lung,regulatory T cell,8
73,1m,Lung,smooth muscle cell of the pulmonary artery,13
74,1m,Lung,type II pneumocyte,7
75,1m,Lung,vein endothelial cell,19
76,1m,Marrow,NK cell,8
77,1m,Marrow,basophil,8
78,1m,Marrow,erythroblast,178
79,1m,Marrow,erythroid progenitor,1
80,1m,Marrow,granulocyte,705
81,1m,Marrow,granulocytopoietic cell,749
82,1m,Marrow,hematopoietic precursor cell,167
83,1m,Marrow,immature B cell,33
84,1m,Marrow,late pro-B cell,4
85,1m,Marrow,macrophage,79
86,1m,Marrow,megakaryocyte-erythroid progenitor cell,155
87,1m,Marrow,monocyte,290
88,1m,Marrow,naive B cell,31
89,1m,Marrow,naive T cell,164
90,1m,Marrow,plasma cell,18
91,1m,Marrow,precursor B cell,118
92,1m,Marrow,proerythroblast,136
93,1m,Marrow,promonocyte,183
94,1m,Spleen,B cell,1755
95,1m,Spleen,NK cell,60
96,1m,Spleen,T cell,782
97,1m,Spleen,erythroblast,4
98,1m,Spleen,granulocyte,12
99,1m,Spleen,immature NKT cell,16
100,1m,Spleen,macrophage,116
101,1m,Spleen,macrophage dendritic cell progenitor,7
102,1m,Spleen,mature NK T cell,132
103,1m,Spleen,megakaryocyte-erythroid progenitor cell,21
104,1m,Spleen,plasma cell,7
105,1m,Spleen,proerythroblast,74
106,1m,Tongue,Langerhans cell,18
107,1m,Tongue,basal cell of epidermis,1778
108,1m,Tongue,keratinocyte,2711
109,3m,Bladder,bladder cell,1235
110,3m,Bladder,bladder urothelial cell,1136
111,3m,Bladder,endothelial cell,57
112,3m,Bladder,leukocyte,70
113,3m,Heart_and_Aorta,cardiac neuron,2
114,3m,Heart_and_Aorta,cardiomyocyte,47
115,3m,Heart_and_Aorta,endocardial cell,61
116,3m,Heart_and_Aorta,endothelial cell of coronary artery,127
117,3m,Heart_and_Aorta,erythrocyte,10
118,3m,Heart_and_Aorta,fibroblast of cardiac tissue,210
119,3m,Heart_and_Aorta,leukocyte,54
120,3m,Heart_and_Aorta,smooth muscle cell,23
121,3m,Kidney,B cell,9
122,3m,Kidney,NK cell,4
123,3m,Kidney,T cell,18
124,3m,Kidney,brush cell,20
125,3m,Kidney,epithelial cell of proximal tubule,195
126,3m,Kidney,fenestrated cell,181
127,3m,Kidney,fibroblast,14
128,3m,Kidney,kidney capillary endothelial cell,80
129,3m,Kidney,kidney cell,3
130,3m,Kidney,kidney collecting duct epithelial cell,25
131,3m,Kidney,kidney collecting duct principal cell,113
132,3m,Kidney,kidney cortex artery cell,68
133,3m,Kidney,kidney distal convoluted tubule epithelial cell,125
134,3m,Kidney,kidney loop of Henle ascending limb epithelial cell,48
135,3m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,310
136,3m,Kidney,kidney mesangial cell,67
137,3m,Kidney,kidney proximal convoluted tubule epithelial cell,681
138,3m,Kidney,kidney proximal straight tubule epithelial cell,95
139,3m,Kidney,leukocyte,5
140,3m,Kidney,lymphocyte,32
141,3m,Kidney,macrophage,139
142,3m,Kidney,podocyte,98
143,3m,Limb_Muscle,B cell,346
144,3m,Limb_Muscle,Schwann cell,21
145,3m,Limb_Muscle,T cell,298
146,3m,Limb_Muscle,endothelial cell,687
147,3m,Limb_Muscle,macrophage,276
148,3m,Limb_Muscle,mesenchymal stem cell,1468
149,3m,Limb_Muscle,skeletal muscle cell,15
150,3m,Limb_Muscle,skeletal muscle satellite cell,337
151,3m,Limb_Muscle,smooth muscle cell,102
152,3m,Liver,Kupffer cell,13
153,3m,Liver,NK cell,2
154,3m,Liver,duct epithelial cell,2
155,3m,Liver,endothelial cell of hepatic sinusoid,19
156,3m,Liver,hepatic stellate cell,1
157,3m,Liver,hepatocyte,989
158,3m,Lung,B cell,168
159,3m,Lung,"CD4-positive, alpha-beta T cell",123
160,3m,Lung,"CD8-positive, alpha-beta T cell",70
161,3m,Lung,NK cell,534
162,3m,Lung,T cell,11
163,3m,Lung,adventitial cell,375
164,3m,Lung,alveolar macrophage,208
165,3m,Lung,basophil,16
166,3m,Lung,bronchial smooth muscle cell,156
167,3m,Lung,ciliated columnar cell of tracheobronchial tree,31
168,3m,Lung,classical monocyte,125
169,3m,Lung,club cell of bronchiole,1
170,3m,Lung,dendritic cell,5
171,3m,Lung,endothelial cell of lymphatic vessel,2
172,3m,Lung,fibroblast of lung,1143
173,3m,Lung,intermediate monocyte,29
174,3m,Lung,lung macrophage,15
175,3m,Lung,lung neuroendocrine cell,4
176,3m,Lung,mature NK T cell,7
177,3m,Lung,myeloid dendritic cell,39
178,3m,Lung,neutrophil,24
179,3m,Lung,non-classical monocyte,185
180,3m,Lung,pericyte cell,33
181,3m,Lung,plasma cell,2
182,3m,Lung,plasmacytoid dendritic cell,15
183,3m,Lung,pulmonary interstitial fibroblast,181
184,3m,Lung,regulatory T cell,12
185,3m,Lung,smooth muscle cell of the pulmonary artery,16
186,3m,Lung,type II pneumocyte,54
187,3m,Lung,vein endothelial cell,28
188,3m,Mammary_Gland,B cell,727
189,3m,Mammary_Gland,T cell,1829
190,3m,Mammary_Gland,basal cell,398
191,3m,Mammary_Gland,endothelial cell,254
192,3m,Mammary_Gland,luminal epithelial cell of mammary gland,475
193,3m,Mammary_Gland,macrophage,165
194,3m,Mammary_Gland,stromal cell,633
195,3m,Marrow,NK cell,26
196,3m,Marrow,basophil,3
197,3m,Marrow,erythroblast,66
198,3m,Marrow,granulocyte,704
199,3m,Marrow,granulocytopoietic cell,727
200,3m,Marrow,hematopoietic precursor cell,285
201,3m,Marrow,immature B cell,21
202,3m,Marrow,late pro-B cell,34
203,3m,Marrow,macrophage,101
204,3m,Marrow,megakaryocyte-erythroid progenitor cell,133
205,3m,Marrow,monocyte,488
206,3m,Marrow,naive B cell,62
207,3m,Marrow,naive T cell,134
208,3m,Marrow,plasma cell,39
209,3m,Marrow,precursor B cell,259
210,3m,Marrow,proerythroblast,177
211,3m,Marrow,promonocyte,231
212,3m,Spleen,B cell,4668
213,3m,Spleen,NK cell,151
214,3m,Spleen,T cell,1487
215,3m,Spleen,erythroblast,13
216,3m,Spleen,granulocyte,5
217,3m,Spleen,immature NKT cell,12
218,3m,Spleen,macrophage,252
219,3m,Spleen,macrophage dendritic cell progenitor,42
220,3m,Spleen,mature NK T cell,338
221,3m,Spleen,megakaryocyte-erythroid progenitor cell,17
222,3m,Spleen,plasma cell,26
223,3m,Spleen,proerythroblast,126
224,3m,Thymus,DN3 thymocyte,33
225,3m,Thymus,DN4 thymocyte,254
226,3m,Thymus,double negative T cell,189
227,3m,Thymus,immature T cell,397
228,3m,Thymus,professional antigen presenting cell,30
229,3m,Thymus,thymocyte,527
230,3m,Tongue,Langerhans cell,38
231,3m,Tongue,basal cell of epidermis,3964
232,3m,Tongue,keratinocyte,3536
233,3m,Trachea,basal epithelial cell of tracheobronchial tree,521
234,3m,Trachea,blood cell,88
235,3m,Trachea,chondrocyte,1630
236,3m,Trachea,endothelial cell,420
237,3m,Trachea,epithelial cell,193
238,3m,Trachea,fibroblast,1652
239,3m,Trachea,granulocyte,385
240,3m,Trachea,macrophage,357
241,3m,Trachea,mesenchymal cell,879
242,3m,Trachea,mesenchymal progenitor cell,1676
243,3m,Trachea,neuroendocrine cell,48
244,3m,Trachea,smooth muscle cell of trachea,127
245,18m,Bladder,bladder cell,539
246,18m,Bladder,bladder urothelial cell,1385
247,18m,Bladder,endothelial cell,40
248,18m,Bladder,leukocyte,83
249,18m,Fat,B cell,334
250,18m,Fat,T cell,338
251,18m,Fat,endothelial cell,636
252,18m,Fat,epithelial cell,90
253,18m,Fat,erythroblast,56
254,18m,Fat,lymphocyte,17
255,18m,Fat,mesenchymal stem cell of adipose,982
256,18m,Fat,myeloid cell,1515
257,18m,Heart_and_Aorta,cardiac neuron,19
258,18m,Heart_and_Aorta,cardiomyocyte,52
259,18m,Heart_and_Aorta,endocardial cell,131
260,18m,Heart_and_Aorta,endothelial cell of coronary artery,295
261,18m,Heart_and_Aorta,erythrocyte,30
262,18m,Heart_and_Aorta,fibroblast of cardiac tissue,417
263,18m,Heart_and_Aorta,leukocyte,140
264,18m,Heart_and_Aorta,mast cell,25
265,18m,Heart_and_Aorta,smooth muscle cell,34
266,18m,Kidney,B cell,51
267,18m,Kidney,NK cell,8
268,18m,Kidney,T cell,65
269,18m,Kidney,brush cell,89
270,18m,Kidney,epithelial cell of proximal tubule,400
271,18m,Kidney,fenestrated cell,190
272,18m,Kidney,fibroblast,36
273,18m,Kidney,kidney capillary endothelial cell,20
274,18m,Kidney,kidney collecting duct principal cell,130
275,18m,Kidney,kidney cortex artery cell,79
276,18m,Kidney,kidney distal convoluted tubule epithelial cell,198
277,18m,Kidney,kidney loop of Henle ascending limb epithelial cell,38
278,18m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,247
279,18m,Kidney,kidney mesangial cell,37
280,18m,Kidney,kidney proximal convoluted tubule epithelial cell,1117
281,18m,Kidney,lymphocyte,85
282,18m,Kidney,macrophage,264
283,18m,Kidney,plasma cell,12
284,18m,Kidney,podocyte,72
285,18m,Limb_Muscle,B cell,14
286,18m,Limb_Muscle,Schwann cell,46
287,18m,Limb_Muscle,T cell,39
288,18m,Limb_Muscle,endothelial cell,1081
289,18m,Limb_Muscle,macrophage,736
290,18m,Limb_Muscle,mesenchymal stem cell,2957
291,18m,Limb_Muscle,skeletal muscle cell,29
292,18m,Limb_Muscle,skeletal muscle satellite cell,424
293,18m,Limb_Muscle,smooth muscle cell,243
294,18m,Liver,B cell,24
295,18m,Liver,Kupffer cell,221
296,18m,Liver,NK cell,109
297,18m,Liver,endothelial cell of hepatic sinusoid,27
298,18m,Liver,hepatic stellate cell,2
299,18m,Liver,hepatocyte,267
300,18m,Liver,myeloid leukocyte,40
301,18m,Liver,plasmacytoid dendritic cell,8
302,18m,Lung,B cell,500
303,18m,Lung,"CD4-positive, alpha-beta T cell",72
304,18m,Lung,"CD8-positive, alpha-beta T cell",234
305,18m,Lung,NK cell,158
306,18m,Lung,T cell,64
307,18m,Lung,adventitial cell,56
308,18m,Lung,alveolar macrophage,200
309,18m,Lung,basophil,19
310,18m,Lung,bronchial smooth muscle cell,756
311,18m,Lung,ciliated columnar cell of tracheobronchial tree,9
312,18m,Lung,classical monocyte,981
313,18m,Lung,club cell of bronchiole,4
314,18m,Lung,dendritic cell,10
315,18m,Lung,endothelial cell of lymphatic vessel,11
316,18m,Lung,fibroblast of lung,166
317,18m,Lung,intermediate monocyte,95
318,18m,Lung,lung macrophage,16
319,18m,Lung,mature NK T cell,152
320,18m,Lung,myeloid dendritic cell,48
321,18m,Lung,neutrophil,413
322,18m,Lung,non-classical monocyte,187
323,18m,Lung,pericyte cell,8
324,18m,Lung,plasma cell,5
325,18m,Lung,plasmacytoid dendritic cell,15
326,18m,Lung,pulmonary interstitial fibroblast,9
327,18m,Lung,regulatory T cell,28
328,18m,Lung,smooth muscle cell of the pulmonary artery,32
329,18m,Lung,type II pneumocyte,35
330,18m,Lung,vein endothelial cell,93
331,18m,Mammary_Gland,B cell,235
332,18m,Mammary_Gland,T cell,476
333,18m,Mammary_Gland,basal cell,473
334,18m,Mammary_Gland,endothelial cell,174
335,18m,Mammary_Gland,luminal epithelial cell of mammary gland,948
336,18m,Mammary_Gland,macrophage,134
337,18m,Mammary_Gland,stromal cell,553
338,18m,Marrow,NK cell,25
339,18m,Marrow,basophil,3
340,18m,Marrow,erythroblast,148
341,18m,Marrow,erythroid progenitor,1
342,18m,Marrow,granulocyte,1573
343,18m,Marrow,granulocytopoietic cell,1274
344,18m,Marrow,hematopoietic precursor cell,334
345,18m,Marrow,immature B cell,40
346,18m,Marrow,late pro-B cell,116
347,18m,Marrow,macrophage,223
348,18m,Marrow,megakaryocyte-erythroid progenitor cell,424
349,18m,Marrow,monocyte,412
350,18m,Marrow,naive B cell,52
351,18m,Marrow,naive T cell,438
352,18m,Marrow,plasma cell,27
353,18m,Marrow,precursor B cell,178
354,18m,Marrow,proerythroblast,905
355,18m,Marrow,promonocyte,539
356,18m,Pancreas,endothelial cell,50
357,18m,Pancreas,leukocyte,45
358,18m,Pancreas,pancreatic A cell,155
359,18m,Pancreas,pancreatic B cell,1475
360,18m,Pancreas,pancreatic D cell,143
361,18m,Pancreas,pancreatic PP cell,127
362,18m,Pancreas,pancreatic acinar cell,19
363,18m,Pancreas,pancreatic ductal cel,51
364,18m,Pancreas,pancreatic stellate cell,6
365,18m,Skin,T cell,5
