,age,tissue,cell_ontology_class,ncells
366,18m,Skin,basal cell of epidermis,44
367,18m,Skin,epidermal cell,28
368,18m,Skin,keratinocyte stem cell,21
369,18m,Skin,stem cell of epidermis,4
370,18m,Spleen,B cell,4571
371,18m,Spleen,NK cell,77
372,18m,Spleen,T cell,591
373,18m,Spleen,erythroblast,4
374,18m,Spleen,granulocyte,16
375,18m,Spleen,immature NKT cell,17
376,18m,Spleen,macrophage,164
377,18m,Spleen,macrophage dendritic cell progenitor,16
378,18m,Spleen,mature NK T cell,413
379,18m,Spleen,megakaryocyte-erythroid progenitor cell,21
380,18m,Spleen,plasma cell,120
381,18m,Spleen,proerythroblast,109
382,18m,Thymus,DN3 thymocyte,60
383,18m,Thymus,DN4 thymocyte,345
384,18m,Thymus,double negative T cell,341
385,18m,Thymus,immature T cell,680
386,18m,Thymus,professional antigen presenting cell,75
387,18m,Thymus,thymocyte,539
388,18m,Tongue,Langerhans cell,17
389,18m,Tongue,basal cell of epidermis,1833
390,18m,Tongue,keratinocyte,1819
391,21m,Fat,B cell,48
392,21m,Fat,T cell,88
393,21m,Fat,endothelial cell,188
394,21m,Fat,epithelial cell,50
395,21m,Fat,erythroblast,13
396,21m,Fat,mesenchymal stem cell of adipose,252
397,21m,Fat,myeloid cell,155
398,21m,Heart_and_Aorta,cardiac neuron,17
399,21m,Heart_and_Aorta,cardiomyocyte,72
400,21m,Heart_and_Aorta,endocardial cell,135
401,21m,Heart_and_Aorta,endothelial cell of coronary artery,258
402,21m,Heart_and_Aorta,erythrocyte,22
403,21m,Heart_and_Aorta,fibroblast of cardiac tissue,294
404,21m,Heart_and_Aorta,leukocyte,94
405,21m,Heart_and_Aorta,smooth muscle cell,26
406,21m,Kidney,B cell,51
407,21m,Kidney,NK cell,2
408,21m,Kidney,T cell,49
409,21m,Kidney,brush cell,190
410,21m,Kidney,epithelial cell of proximal tubule,78
411,21m,Kidney,fenestrated cell,169
412,21m,Kidney,fibroblast,13
413,21m,Kidney,kidney capillary endothelial cell,12
414,21m,Kidney,kidney collecting duct principal cell,65
415,21m,Kidney,kidney cortex artery cell,67
416,21m,Kidney,kidney distal convoluted tubule epithelial cell,174
417,21m,Kidney,kidney loop of Henle ascending limb epithelial cell,26
418,21m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,228
419,21m,Kidney,kidney mesangial cell,31
420,21m,Kidney,kidney proximal convoluted tubule epithelial cell,860
421,21m,Kidney,lymphocyte,56
422,21m,Kidney,macrophage,105
423,21m,Kidney,plasma cell,16
424,21m,Kidney,podocyte,65
425,21m,Limb_Muscle,B cell,83
426,21m,Limb_Muscle,Schwann cell,26
427,21m,Limb_Muscle,T cell,37
428,21m,Limb_Muscle,endothelial cell,755
429,21m,Limb_Muscle,macrophage,273
430,21m,Limb_Muscle,mesenchymal stem cell,2007
431,21m,Limb_Muscle,skeletal muscle cell,25
432,21m,Limb_Muscle,skeletal muscle satellite cell,234
433,21m,Limb_Muscle,smooth muscle cell,88
434,21m,Liver,B cell,39
435,21m,Liver,Kupffer cell,25
436,21m,Liver,NK cell,32
437,21m,Liver,endothelial cell of hepatic sinusoid,14
438,21m,Liver,hepatic stellate cell,2
439,21m,Liver,hepatocyte,250
440,21m,Liver,myeloid leukocyte,4
441,21m,Liver,plasmacytoid dendritic cell,1
442,21m,Lung,B cell,414
443,21m,Lung,"CD4-positive, alpha-beta T cell",107
444,21m,Lung,"CD8-positive, alpha-beta T cell",335
445,21m,Lung,NK cell,227
446,21m,Lung,T cell,83
447,21m,Lung,adventitial cell,43
448,21m,Lung,alveolar macrophage,91
449,21m,Lung,basophil,46
450,21m,Lung,bronchial smooth muscle cell,670
451,21m,Lung,ciliated columnar cell of tracheobronchial tree,4
452,21m,Lung,classical monocyte,242
453,21m,Lung,club cell of bronchiole,5
454,21m,Lung,dendritic cell,9
455,21m,Lung,endothelial cell of lymphatic vessel,12
456,21m,Lung,fibroblast of lung,101
457,21m,Lung,intermediate monocyte,19
458,21m,Lung,lung macrophage,21
459,21m,Lung,mature NK T cell,50
460,21m,Lung,myeloid dendritic cell,42
461,21m,Lung,neutrophil,29
462,21m,Lung,non-classical monocyte,194
463,21m,Lung,pericyte cell,1
464,21m,Lung,plasma cell,16
465,21m,Lung,plasmacytoid dendritic cell,10
466,21m,Lung,pulmonary interstitial fibroblast,9
467,21m,Lung,regulatory T cell,20
468,21m,Lung,smooth muscle cell of the pulmonary artery,26
469,21m,Lung,type II pneumocyte,18
470,21m,Lung,vein endothelial cell,107
471,21m,Mammary_Gland,B cell,670
472,21m,Mammary_Gland,T cell,915
473,21m,Mammary_Gland,basal cell,716
474,21m,Mammary_Gland,endothelial cell,223
475,21m,Mammary_Gland,luminal epithelial cell of mammary gland,480
476,21m,Mammary_Gland,macrophage,220
477,21m,Mammary_Gland,stromal cell,1597
478,21m,Marrow,NK cell,41
479,21m,Marrow,basophil,1
480,21m,Marrow,erythroblast,54
481,21m,Marrow,erythroid progenitor,3
482,21m,Marrow,granulocyte,1520
483,21m,Marrow,granulocytopoietic cell,897
484,21m,Marrow,hematopoietic precursor cell,348
485,21m,Marrow,immature B cell,12
486,21m,Marrow,late pro-B cell,102
487,21m,Marrow,macrophage,144
488,21m,Marrow,megakaryocyte-erythroid progenitor cell,242
489,21m,Marrow,monocyte,392
490,21m,Marrow,naive B cell,97
491,21m,Marrow,naive T cell,226
492,21m,Marrow,plasma cell,19
493,21m,Marrow,precursor B cell,105
494,21m,Marrow,proerythroblast,762
495,21m,Marrow,promonocyte,251
496,21m,Pancreas,endothelial cell,22
497,21m,Pancreas,leukocyte,93
498,21m,Pancreas,pancreatic A cell,105
499,21m,Pancreas,pancreatic B cell,923
500,21m,Pancreas,pancreatic D cell,96
501,21m,Pancreas,pancreatic PP cell,27
502,21m,Pancreas,pancreatic acinar cell,151
503,21m,Pancreas,pancreatic ductal cel,16
504,21m,Pancreas,pancreatic stellate cell,4
505,21m,Skin,T cell,57
506,21m,Skin,basal cell of epidermis,2024
507,21m,Skin,epidermal cell,1707
508,21m,Skin,keratinocyte stem cell,397
509,21m,Skin,stem cell of epidermis,167
510,21m,Spleen,B cell,4462
511,21m,Spleen,NK cell,89
512,21m,Spleen,T cell,756
513,21m,Spleen,erythroblast,6
514,21m,Spleen,granulocyte,68
515,21m,Spleen,immature NKT cell,9
516,21m,Spleen,macrophage,191
517,21m,Spleen,macrophage dendritic cell progenitor,24
518,21m,Spleen,mature NK T cell,493
519,21m,Spleen,megakaryocyte-erythroid progenitor cell,24
520,21m,Spleen,plasma cell,171
521,21m,Spleen,proerythroblast,102
522,21m,Thymus,DN3 thymocyte,51
523,21m,Thymus,DN4 thymocyte,617
524,21m,Thymus,double negative T cell,436
525,21m,Thymus,immature T cell,690
526,21m,Thymus,professional antigen presenting cell,181
527,21m,Thymus,thymocyte,817
528,24m,Bladder,bladder cell,600
529,24m,Bladder,bladder urothelial cell,2522
530,24m,Bladder,endothelial cell,131
531,24m,Bladder,leukocyte,177
532,24m,Heart_and_Aorta,cardiomyocyte,27
533,24m,Heart_and_Aorta,endocardial cell,106
534,24m,Heart_and_Aorta,endothelial cell of coronary artery,279
535,24m,Heart_and_Aorta,erythrocyte,12
536,24m,Heart_and_Aorta,fibroblast of cardiac tissue,217
537,24m,Heart_and_Aorta,leukocyte,93
538,24m,Heart_and_Aorta,mast cell,1
539,24m,Heart_and_Aorta,smooth muscle cell,33
540,24m,Kidney,B cell,2922
541,24m,Kidney,NK cell,47
542,24m,Kidney,T cell,987
543,24m,Kidney,lymphocyte,1240
544,24m,Kidney,macrophage,284
545,24m,Kidney,plasma cell,241
546,24m,Limb_Muscle,B cell,507
547,24m,Limb_Muscle,Schwann cell,47
548,24m,Limb_Muscle,T cell,392
549,24m,Limb_Muscle,endothelial cell,1683
550,24m,Limb_Muscle,macrophage,728
551,24m,Limb_Muscle,mesenchymal stem cell,3217
552,24m,Limb_Muscle,skeletal muscle cell,47
553,24m,Limb_Muscle,skeletal muscle satellite cell,339
554,24m,Limb_Muscle,smooth muscle cell,218
555,24m,Liver,B cell,3
556,24m,Liver,Kupffer cell,18
557,24m,Liver,NK cell,7
558,24m,Liver,endothelial cell of hepatic sinusoid,7
559,24m,Liver,hepatic stellate cell,1
560,24m,Liver,hepatocyte,78
561,24m,Liver,myeloid leukocyte,5
562,24m,Marrow,NK cell,18
563,24m,Marrow,basophil,14
564,24m,Marrow,erythroblast,698
565,24m,Marrow,erythroid progenitor,402
566,24m,Marrow,granulocyte,2511
567,24m,Marrow,granulocytopoietic cell,1683
568,24m,Marrow,hematopoietic precursor cell,486
569,24m,Marrow,immature B cell,91
570,24m,Marrow,late pro-B cell,66
571,24m,Marrow,macrophage,131
572,24m,Marrow,megakaryocyte-erythroid progenitor cell,304
573,24m,Marrow,monocyte,437
574,24m,Marrow,naive B cell,49
575,24m,Marrow,naive T cell,233
576,24m,Marrow,plasma cell,130
577,24m,Marrow,precursor B cell,92
578,24m,Marrow,proerythroblast,644
579,24m,Marrow,promonocyte,290
580,24m,Pancreas,endothelial cell,7
581,24m,Pancreas,leukocyte,1
582,24m,Pancreas,pancreatic acinar cell,18
583,24m,Pancreas,pancreatic ductal cel,23
584,24m,Pancreas,pancreatic stellate cell,2
585,24m,Spleen,B cell,2138
586,24m,Spleen,NK cell,51
587,24m,Spleen,T cell,341
588,24m,Spleen,erythroblast,230
589,24m,Spleen,granulocyte,274
590,24m,Spleen,immature NKT cell,8
591,24m,Spleen,macrophage,277
592,24m,Spleen,macrophage dendritic cell progenitor,27
593,24m,Spleen,mature NK T cell,275
594,24m,Spleen,megakaryocyte-erythroid progenitor cell,196
595,24m,Spleen,plasma cell,109
596,24m,Spleen,proerythroblast,209
597,24m,Thymus,DN3 thymocyte,2
598,24m,Thymus,DN4 thymocyte,784
599,24m,Thymus,double negative T cell,5
600,24m,Thymus,immature T cell,17
601,24m,Thymus,professional antigen presenting cell,2196
602,24m,Thymus,thymocyte,9
603,24m,Tongue,Langerhans cell,102
604,24m,Tongue,basal cell of epidermis,1788
605,24m,Tongue,keratinocyte,3076
606,30m,Fat,B cell,301
607,30m,Fat,T cell,137
608,30m,Fat,endothelial cell,651
609,30m,Fat,epithelial cell,5
610,30m,Fat,erythroblast,23
611,30m,Fat,lymphocyte,38
612,30m,Fat,mesenchymal stem cell of adipose,659
613,30m,Fat,myeloid cell,201
614,30m,Heart_and_Aorta,cardiac neuron,23
615,30m,Heart_and_Aorta,cardiomyocyte,83
616,30m,Heart_and_Aorta,endocardial cell,198
617,30m,Heart_and_Aorta,endothelial cell of coronary artery,1966
618,30m,Heart_and_Aorta,erythrocyte,279
619,30m,Heart_and_Aorta,fibroblast of cardiac tissue,1005
620,30m,Heart_and_Aorta,leukocyte,484
621,30m,Heart_and_Aorta,mast cell,50
622,30m,Heart_and_Aorta,smooth muscle cell,216
623,30m,Kidney,B cell,81
624,30m,Kidney,NK cell,4
625,30m,Kidney,T cell,227
626,30m,Kidney,brush cell,50
627,30m,Kidney,epithelial cell of proximal tubule,2211
628,30m,Kidney,fenestrated cell,281
629,30m,Kidney,fibroblast,84
630,30m,Kidney,kidney capillary endothelial cell,7
631,30m,Kidney,kidney collecting duct principal cell,398
632,30m,Kidney,kidney cortex artery cell,105
633,30m,Kidney,kidney distal convoluted tubule epithelial cell,147
634,30m,Kidney,kidney loop of Henle ascending limb epithelial cell,37
635,30m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,309
636,30m,Kidney,kidney mesangial cell,18
637,30m,Kidney,kidney proximal convoluted tubule epithelial cell,864
638,30m,Kidney,lymphocyte,111
639,30m,Kidney,macrophage,553
640,30m,Kidney,plasma cell,56
641,30m,Kidney,podocyte,170
642,30m,Large_Intestine,enterocyte of epithelium of large intestine,1125
643,30m,Large_Intestine,epithelial cell of large intestine,229
644,30m,Large_Intestine,hematopoietic stem cell,36
645,30m,Large_Intestine,intestinal crypt stem cell,339
646,30m,Large_Intestine,large intestine goblet cell,158
647,30m,Limb_Muscle,B cell,274
648,30m,Limb_Muscle,Schwann cell,46
649,30m,Limb_Muscle,T cell,169
650,30m,Limb_Muscle,endothelial cell,1184
651,30m,Limb_Muscle,macrophage,166
652,30m,Limb_Muscle,mesenchymal stem cell,1032
653,30m,Limb_Muscle,skeletal muscle cell,58
654,30m,Limb_Muscle,skeletal muscle satellite cell,212
655,30m,Limb_Muscle,smooth muscle cell,144
656,30m,Liver,B cell,120
657,30m,Liver,Kupffer cell,1655
658,30m,Liver,NK cell,155
659,30m,Liver,endothelial cell of hepatic sinusoid,88
660,30m,Liver,hepatic stellate cell,5
661,30m,Liver,hepatocyte,30
662,30m,Liver,myeloid leukocyte,223
663,30m,Liver,plasmacytoid dendritic cell,17
664,30m,Lung,B cell,295
665,30m,Lung,"CD4-positive, alpha-beta T cell",106
666,30m,Lung,"CD8-positive, alpha-beta T cell",193
667,30m,Lung,NK cell,129
668,30m,Lung,T cell,78
669,30m,Lung,adventitial cell,23
670,30m,Lung,alveolar macrophage,290
671,30m,Lung,basophil,40
672,30m,Lung,bronchial smooth muscle cell,436
673,30m,Lung,ciliated columnar cell of tracheobronchial tree,3
674,30m,Lung,classical monocyte,6088
675,30m,Lung,club cell of bronchiole,3
676,30m,Lung,dendritic cell,15
677,30m,Lung,endothelial cell of lymphatic vessel,10
678,30m,Lung,fibroblast of lung,26
679,30m,Lung,intermediate monocyte,1495
680,30m,Lung,lung macrophage,1098
681,30m,Lung,mature NK T cell,191
682,30m,Lung,myeloid dendritic cell,70
683,30m,Lung,neutrophil,22
684,30m,Lung,non-classical monocyte,287
685,30m,Lung,pericyte cell,8
686,30m,Lung,plasma cell,23
687,30m,Lung,plasmacytoid dendritic cell,14
688,30m,Lung,regulatory T cell,55
689,30m,Lung,smooth muscle cell of the pulmonary artery,11
690,30m,Lung,type II pneumocyte,11
691,30m,Lung,vein endothelial cell,73
692,30m,Marrow,NK cell,31
693,30m,Marrow,basophil,95
694,30m,Marrow,erythroblast,1216
695,30m,Marrow,erythroid progenitor,2
696,30m,Marrow,granulocyte,4043
697,30m,Marrow,granulocytopoietic cell,2269
698,30m,Marrow,hematopoietic precursor cell,524
699,30m,Marrow,immature B cell,629
700,30m,Marrow,late pro-B cell,210
701,30m,Marrow,macrophage,310
702,30m,Marrow,megakaryocyte-erythroid progenitor cell,616
703,30m,Marrow,monocyte,374
704,30m,Marrow,naive B cell,107
705,30m,Marrow,naive T cell,373
706,30m,Marrow,plasma cell,212
707,30m,Marrow,precursor B cell,163
708,30m,Marrow,proerythroblast,989
709,30m,Marrow,promonocyte,1333
710,30m,Pancreas,endothelial cell,29
711,30m,Pancreas,leukocyte,41
712,30m,Pancreas,pancreatic A cell,50
713,30m,Pancreas,pancreatic B cell,276
714,30m,Pancreas,pancreatic D cell,33
715,30m,Pancreas,pancreatic PP cell,3
716,30m,Pancreas,pancreatic acinar cell,1953
717,30m,Pancreas,pancreatic ductal cel,248
718,30m,Pancreas,pancreatic stellate cell,9
719,30m,Spleen,B cell,4472
720,30m,Spleen,NK cell,97
721,30m,Spleen,T cell,750
722,30m,Spleen,erythroblast,209
723,30m,Spleen,granulocyte,780
724,30m,Spleen,immature NKT cell,22
725,30m,Spleen,macrophage,428
726,30m,Spleen,macrophage dendritic cell progenitor,32
727,30m,Spleen,mature NK T cell,891
728,30m,Spleen,megakaryocyte-erythroid progenitor cell,559
729,30m,Spleen,plasma cell,369
730,30m,Spleen,proerythroblast,337
